OBJECTID,JURISDCTN,DISTRICT,POLICEZONE,SHAPEAREA,SHAPELEN
31,Speedway,Excluded,Excluded,131612373.281,76214.4728812095
32,Lawrence,Excluded,Excluded,565153684.944676,132999.10688163
33,IMPD,North,ND70,627461834.596461,170676.18968239
59,IMPD,Northwest,NW10,63895978.1383467,59211.0265923097
63,IMPD,North,ND15,12876947.0136464,20459.4302813331
64,IMPD,North,ND16,23788160.878,22167.4345675346
1,IMPD,Southwest,SW80,268416602.046579,68440.0065001427
15,IMPD,Downtown,DT10,25720150.2061683,40990.2145544892
16,IMPD,Downtown,DT20,19744013.5604767,32389.4094738134
17,IMPD,Southeast,SE50,343061754.297543,74826.6522082878
34,Cumberland,Excluded,Excluded,21472854.7975975,23368.0829220206
35,IMPD,Northeast,NE26,20601275.7257108,19024.659830401
36,IMPD,Southwest,SW15,49029546.6744879,31104.5500142366
37,IMPD,Downtown,DT35,5450863.21253626,10181.3612818232
39,IMPD,Northwest,NW35,24814638.1842145,27433.728822346
40,IMPD,Downtown,DT25,6464307.72557361,12051.1718255796
2,Marian University,Excluded,Excluded,5251097.97688271,11621.4464812602
3,Butler University,Excluded,Excluded,13660093.5074615,22158.2000053167
4,IMPD,Southeast,SE30,281018910.911233,78103.4613407891
5,IMPD,Southwest,SW20,146877502.330283,55963.0275849761
18,IMPD,Southeast,SE40,1282992503.45507,147274.996222274
19,IMPD,Northeast,NE60,538447053.017384,110711.764583856
20,IMPD,Northeast,NE30,177279091.103512,90147.3641870349
41,IMPD,Southeast,SE15,14121638.3935554,15879.007656988
42,IMPD,Northeast,NE35,36106785.7407138,25340.5396557025
43,IMPD,Northeast,NE25,21225509.9130777,20027.704877458
44,IMPD,Southwest,SW75,66029114.4872848,43675.4404435732
6,IMPD,Northeast,NE50,200957348.782225,68643.0768716381
7,IMPD,Northwest,NW70,436452932.930926,115925.604478334
8,IUPUI,Excluded,Excluded,14653248.6222909,27522.8583501069
21,IMPD,Northeast,NE20,43207385.3814,50126.8287593456
22,IMPD,Downtown,DT40,21969609.7020732,22121.1610523945
23,IMPD,Southwest,SW70,792960289.808233,159744.336753867
45,IMPD,North,ND25,44716835.1914831,33497.4826396298
46,IMPD,Northeast,NE75,28429886.8830051,27471.1429423512
47,IMPD,Northwest,NW25,19731004.6775038,22069.4913483947
48,IMPD,Northeast,NE15,12010944.2380693,21351.3351737825
49,IMPD,North,ND55,9651318.23395791,13344.7308065168
9,IMPD,Downtown,DT30,21977146.2294552,28535.71933713
10,IMPD,Southeast,SE20,146788313.814552,54210.2805828314
11,IMPD,Southwest,SW50,648215385.485015,113567.391788373
24,IMPD,North,ND60,660458960.696026,155924.215811894
25,IMPD,North,ND20,76052229.4156398,75133.0615773069
50,IMPD,Northwest,NW15,40860602.9859844,30705.7350263293
51,IMPD,Northwest,NW16,39439335.0373187,30821.5509465853
52,IMPD,North,ND75,37171656.2621687,28579.3366940431
53,IMPD,Northeast,NE70,189340854.98,83749.3699227047
12,IMPD,Northwest,NW60,398875375.572,102222.680217674
13,IMPD,North,ND30,187878661.955,73637.2353665385
14,IMPD,Northwest,NW80,621833935.298448,112925.157426933
26,IMPD,Northwest,NW20,117761751.571923,66952.6821639598
54,IMPD,Southwest,SW60,206737592.491778,82542.1384105226
55,IMPD,Northwest,NW30,75801657.7439342,34605.0841446229
27,IMPD,Northeast,NE10,124260997.215917,71378.2457907357
56,IMPD,North,ND10,112291295.105366,86604.0349853099
28,IMPD,North,ND50,395610317.787447,125298.541351588
29,Beech Grove,Excluded,Excluded,122747268.995582,64593.3154621735
30,Airport Authority,Excluded,Excluded,220020515.477484,69856.3585297152
57,IMPD,Southeast,SE10,297763074.683,92187.3838565314
58,IMPD,Southwest,SW10,73884286.4319362,54889.3502114784
