X,Y,OBJECTID,LOCATION,ADDRESS,CAPACITY
-86.155369150117409,39.767020428219546,1,Washington & Penn,100 block E. Washington St.,5
-86.161777594487731,39.765720456299611,2,Convention Center 1,100 S. Capitol Ave.,5
-86.154408830525867,39.768753460388311,3,City Market,110 N. Delaware St.,5
-86.304502977487431,39.709621634938813,4,Indianapolis International Airport, ,5
-86.158051365416142,39.768516480058317,5,Monument Circle, ,5
-86.157064520150996,39.769893772053123,6,Ohio & Penn,30 E. Ohio St.,5
-86.176121493364406,39.773322181634256,7,IUPUI - Student Center,920 W. Vermont St.,5
-86.151063652171729,39.773594220168533,8,Mass Avenue,480 Massachusetts Ave.,5
-86.146111012988158,39.86920052253106,9,Broad Ripple,6280 N. College Ave.,5
-86.140455229185065,39.752639482974665,10,Fountain Square,1060 Virginia Ave.,5
-86.154221138043866,39.761359556076698,11,City Way,210 E. South St.,5
-86.159908026104276,39.767324561519793,12,Illinois & Washington,8 N. Illinois St.,5
-86.153660578850605,39.766979674622007,13,City-County Building,240 E. Washington St.,5
-86.170221947680773,39.765895392778845,14,White River State Park,801 W. Washington St.,5
-86.161657328333391,39.768909068072283,15,Statehouse East,110 N. Capitol Ave.,5
-86.158294052212483,39.804310837305863,16,Ivy Tech,20 W. 26th St.,5
-86.070567528649519,39.770787212015556,17,Irvington,5690 E. Washington St.,5
-86.14583461045099,39.85140013306026,18,SoBro,5410 N. College Ave.,5
-86.171707892827655,39.836654219838586,19,Butler University,704 W. Hampton Dr.,5
-86.134588458339962,39.708309277820042,20,University of Indianapolis,1400 E. Hanna Ave.,5
-86.135300062679491,39.912479872485903,21,86th & Monon,1410 E. 86th St.,5
-86.10952944061907,39.913169778532399,22,Keystone Fashion Mall,8680 Keystone Crossing,5
-86.064477399371299,39.905189455727061,23,Castleton Mall,6020 E. 82nd St.,5
-86.122262644041442,39.865639132423659,24,Glendale Town Center,6101 N. Keystone Ave.,5
-86.166721389546055,39.765838864652189,25,Convention Center & Victory Field,460 W. Maryland St.,5
